id,conc,rawData,meanOD,cv,calConc,meanConc,bias
QC_Front_QC2,800,"2.562
2.559",2.561,0.083%,"772.603
770.224",771.414,-3.573%
QC_Back_QC2,800,"2.526
2.504",2.515,0.619%,"744.758
728.461",736.609,-7.924%
QC_Front_QC4,75,"0.463
0.465",0.464,0.305%,"83.117
83.453",83.285,11.046%
QC_Back_QC4,75,"0.459
0.451",0.455,1.243%,"82.444
81.101",81.772,9.030%
QC_Front_QC3,400,"1.817
1.835",1.826,0.697%,"389.724
395.886",392.805,-1.799%
QC_Back_QC3,400,"1.822
1.830",1.826,0.310%,"391.426
394.165",392.796,-1.801%
